spot no	proSPK-BC1	proSPK-BC2	pro35S-C1	pro35S-C2	empty vector1	empty vector2	empty vector3	empty vector4
40243	0.04516849	0.03947499	0.03585932	0.04936185	0.0902264	0.006274123	0.006932625	0.01606954
40244	17.26401	15.55211	14.60894	17.31137	16.88191	11.54279	12.65321	13.48582
40245	9.985239	9.619771	8.970706	10.37725	3.505446	2.630796	3.497728	10.83851
40246	0.5824132	0.5288004	0.4729251	0.565162	0.4441851	0.3882499	0.2943365	0.5722578
40247	0.006570322	0.005205304	0.005314214	0.006947434	0.007408394	0.00620497	0.006012488	0.008085995
40248	1.394477	1.198277	1.121865	1.430774	1.463633	0.9046906	1.088373	1.688643
40249	0.4833161	0.4536311	0.4142722	0.5035048	0.5346627	0.4830962	0.577851	0.7552685
40250	2.815086	2.210861	1.983208	2.345111	6.034735	2.013111	1.826868	2.63271
40251	0.1734773	0.1297741	0.1333782	0.09373699	0.1421608	0.09714132	0.1314118	0.07971155
40252	2.462779	2.261956	2.128243	2.523552	2.154115	1.327216	1.917733	1.568575
40253	2.193723	1.96452	1.832058	2.212678	1.218455	0.9411159	1.829058	1.343732
40254	0.07036067	0.06222196	0.05333396	0.06420206	0.1018445	0.1059751	0.314636	0.05365054
40255	1.415673	1.269269	1.17885	1.297776	1.104268	0.8148258	0.9095219	1.034313
40256	1.408361	1.301117	1.215651	1.449567	1.200131	0.900092	1.396616	1.459944
40257	0.01338685	0.01213971	0.01157237	0.01365107	0.007299386	0.01012552	0.005893358	0.005570661
40258	1.045169	0.944782	0.8639583	1.042906	1.071545	0.950654	0.8777696	1.166745
40259	0.2336324	0.213228	0.1885583	0.2273568	0.3300062	0.4072938	0.3417406	0.3027845
40260	0.06938137	0.06245769	0.05484202	0.06917815	0.03766008	0.04443508	0.01926819	0.02303832
40261	0.002494794	0.005066424	0.005115556	0.003724174	0.007239811	0.006036992	0.005819173	0.005362949
40262	2.882292	2.71903	2.45924	3.013301	2.531755	1.71008	1.520111	3.628431
40263	5.038076	4.641846	4.268749	5.115764	6.11091	5.15578	4.865446	4.948317
40264	0.1908123	0.162179	0.1453944	0.1582724	0.2605104	0.2286622	0.2610535	0.1732404
40265	0.002488253	0.005069863	0.005089774	0.003706783	0.007212926	0.006037653	0.00578911	0.005332446
40266	8.187249	7.339937	6.878292	8.034706	7.302827	6.545906	6.532633	7.62868
40267	0.884307	0.8411311	0.7455142	0.8752504	0.9578054	0.6971429	0.9293762	0.8996766
40268	0.00471561	0.005087876	0.005061002	0.003704968	0.00721471	0.006057041	0.0100457	0.005327025
40269	0.0202928	0.01142074	0.01227768	0.01988879	0.0214714	0.03160104	0.005806209	0.005530349
40270	0.3817567	0.3146085	0.2838637	0.3429882	0.3330142	0.1865861	0.2346399	0.2258795
40271	0.002489235	0.005119794	0.005079117	0.003715594	0.007200442	0.006094168	0.005767939	0.005341404
40272	0.003683298	0.005134244	0.005074664	0.003707552	0.01030383	0.006111477	0.006744259	0.006406997
40273	0.06696404	0.05599542	0.0537527	0.06140477	0.06289731	0.02791737	0.01669703	0.02557171
40274	1.358477	1.245108	1.134276	1.35311	0.8292585	0.7733988	0.6859818	1.099505
40275	0.006651038	0.005185587	0.005089599	0.003754944	0.007235729	0.006174505	0.005769579	0.005401236
40276	0.002500356	0.005206658	0.005094444	0.003770105	0.009174854	0.006200912	0.005772078	0.0054249
40277	6.461572	6.043456	5.374601	6.66337	6.433809	5.531445	5.9301	7.105034
40278	0.8719715	0.7849859	0.7171713	0.8553529	1.051318	0.7976918	1.161935	0.9992755
40279	0.002516699	0.005280088	0.005113953	0.003830699	0.007263213	0.006294758	0.005784456	0.005520875
40280	0.3919203	0.3472063	0.2912098	0.3624763	0.1109666	0.3219453	0.04286836	0.09750481
40281	0.002541861	0.005338935	0.005130696	0.003885942	0.007298944	0.00637171	0.005796602	0.005609554
40282	0.7747535	0.6993484	0.611773	0.7657449	0.5572333	0.826728	0.4060049	0.9074969
40283	0.2548885	0.2383571	0.2121152	0.2648203	0.2075961	0.2142713	0.05274672	0.4364488
40284	0.3981973	0.3682535	0.3313703	0.4045966	0.4455638	0.5822625	0.6049761	0.6904515
40285	6.319437	6.060269	5.445416	6.76237	6.379174	6.478985	6.281807	10.39112
40286	0.1328381	0.1401313	0.1219482	0.1469863	0.1669519	0.2138693	0.1826901	0.09049745
40288	0.007587514	0.005610128	0.005210201	0.005590458	0.007531114	0.006741937	0.005863357	0.006166335
40289	0.002612096	0.005658231	0.005223843	0.004241359	0.007556209	0.006809943	0.00587594	0.008001821
